Feature,p_value,adjusted_p_values,significant
Biological_Evolution,4.5189569036094006e-121,5.513127422403469e-119,True
Biomechanical_Phenomena,5.310180465941003e-97,3.239210084224012e-95,True
Gastrointestinal_Microbiome,2.400052319620829e-82,9.760212766458039e-81,True
Zebrafish,1.1857015718898523e-72,3.616389794264049e-71,True
Ecological_and_Environmental_Phenomena,5.8183532987209855e-56,1.4196782048879207e-54,True
Phylogeny,9.357387482281754e-53,1.9026687880639567e-51,True
Computer_Simulation,1.8790094214016822e-43,3.274844991585789e-42,True
Cell_Communication,2.048349931400206e-32,3.123733645385314e-31,True
Evolution__Molecular,2.0207636450660416e-27,2.7392573855339676e-26,True
Macrophages,7.712858891268332e-22,9.409687847347365e-21,True
Bacteriophages,2.898906508533092e-18,3.2151508549185203e-17,True
Biodiversity,1.1459499585596848e-14,1.1650491245356794e-13,True
Droughts,5.65139694016215e-11,5.303618666921403e-10,True
Alleles,7.778653159430535e-11,6.778540610360895e-10,True
Temperature,1.3138990818145304e-07,1.0686379198758181e-06,True
Anti_Bacterial_Agents,9.180453261813884e-06,7.000095612133087e-05,True
Soil,0.004028247627318439,0.028908600619579387,True
Single_Cell_Gene_Expression_Analysis,0.004600605750306233,0.031181883418742246,True
Cognitive_Dysfunction,0.013323570213014795,0.08555134557830552,False
Diet,0.03637118753970328,0.22186424399219004,False
Amyloid_beta_Peptides,0.05116353950393355,0.297235800927614,False
Oxidation_Reduction,0.721176472545795,0.9999999954273203,False
Pandemics,0.9886491454364486,0.9999999954273203,False
Cryoelectron_Microscopy,0.34860639100201624,0.9999999954273203,False
Reward,0.9999969739326002,0.9999999954273203,False
HIV_Infections,0.9999827423298105,0.9999999954273203,False
Metabolic_Networks_and_Pathways,0.9999643895022033,0.9999999954273203,False
Cytokines,0.9968392654549267,0.9999999954273203,False
Hematopoietic_Stem_Cell_Transplantation,0.9999998585207334,0.9999999954273203,False
Immunity__Innate,0.997126851419755,0.9999999954273203,False
Flow_Cytometry,0.9999560449447843,0.9999999954273203,False
Neuroimaging,0.9606944084684911,0.9999999954273203,False
Phagocytosis,0.9998242516240854,0.9999999954273203,False
Epigenomics,0.9594886423028803,0.9999999954273203,False
Neuronal_Plasticity,0.9888490267568114,0.9999999954273203,False
DNA,0.987254093006772,0.9999999954273203,False
Cell_Differentiation,0.8235073279730204,0.9999999954273203,False
Genetics,0.7495502511977981,0.9999999954273203,False
Heterografts,0.99964943360215,0.9999999954273203,False
NLR_Family__Pyrin_Domain_Containing_3_Protein,0.9999998923176264,0.9999999954273203,False
COVID_19,0.9999797402965085,0.9999999954273203,False
Melanoma,0.9999990148244121,0.9999999954273203,False
Sleep,0.9999517192311961,0.9999999954273203,False
Cocaine,0.9961116463124763,0.9999999954273203,False
Genotype,0.5199308365494907,0.9999999954273203,False
Down_Syndrome,0.9977547203783211,0.9999999954273203,False
Cell_Death,0.9870635908941288,0.9999999954273203,False
Adolescent,0.9998408726174076,0.9999999954273203,False
Pregnancy,0.9999185542821515,0.9999999954273203,False
Single_Cell_Analysis,0.40404745634990485,0.9999999954273203,False
Liver_Neoplasms,0.9999278820558002,0.9999999954273203,False
Mass_Spectrometry,0.9999973858943267,0.9999999954273203,False
White_Matter,0.9999428123139888,0.9999999954273203,False
Antiviral_Agents,0.999999870847422,0.9999999954273203,False
Inflammasomes,0.9999999954273203,0.9999999954273203,False
Anti_Infective_Agents,0.9585976796771447,0.9999999954273203,False
AMP_Activated_Protein_Kinases,0.999975789940531,0.9999999954273203,False
Memory_Consolidation,0.9998520859213952,0.9999999954273203,False
Oxidative_Phosphorylation,0.999999922956113,0.9999999954273203,False
Graft_vs_Host_Disease,0.9999999348398042,0.9999999954273203,False
Nitrogenase,0.9999990934184882,0.9999999954273203,False
Bone_Marrow,0.9999952774775562,0.9999999954273203,False
Substance_Related_Disorders,0.9999562653956683,0.9999999954273203,False
Genetic_Variation,0.48530683821930987,0.9999999954273203,False
Triple_Negative_Breast_Neoplasms,0.9999999831358294,0.9999999954273203,False
Diabetes_Mellitus,0.6636819273784957,0.9999999954273203,False
Multiple_Sclerosis,0.9999740584744002,0.9999999954273203,False
Cell_Line,0.9999918356633672,0.9999999954273203,False
