Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Allison, Steven",prof,research,"Allison, Steven[Author] AND Irvine[Affiliation] OR Allison, SD[Author] AND Irvine[Affiliation] OR 0000-0003-4629-7842[Author - Identifier]","['39726151', '39700081', '39495619', '39474635', '39412476', '39271672', '39095861', '38899583', '38865466', '38740930', '38572990', '38562029', '38550692', '38526088', '38380597', '38087814', '37798477', '37138640', '37059647', '36965002']","Soil; United States; Carbon; Nitrogen; Soil Microbiology; Nitrification; Forests; Biomass; Humans; Curriculum; Education, Graduate; Conservation of Natural Resources; Program Evaluation; Coral Reefs; Droughts; Soil Microbiology; Bacteria; Ecosystem; Plant Leaves; Metagenome; Stress, Physiological; Soil; Drought Resistance; Ecosystem; Stress, Physiological; Microbial Interactions; Climate Change; Models, Biological; Climate Change; Soil Microbiology; Biological Evolution; Adaptation, Physiological; Models, Biological; Ecosystem; Mutation; Carbon Cycle; Soil Microbiology; Carbon; Soil; Ecosystem; Bacteria; Animals; Climate Change; Greenhouse Gases; Isoptera; Methane; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Sphingomonas; Climate Change; California; Soil Microbiology; Ecosystem; Phylogeny; Microbiota; Metagenomics; Grassland; Ecosystem; Soil Microbiology; Soil; Carbon; Climate; Climate Change; Earth, Planet; Models, Theoretical; Bacteria; Biodiversity; Humans; Ecosystem; Introduced Species; Ecosystem; Droughts; Wildfires; Plants; Water; Biomass; Ecosystem; Australia; Forests; Trees; Wood; Carbon; Tropical Climate; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Carbon; Drought Resistance; Soil; Soil Microbiology; Droughts; Plants; Ecosystem"
"Arora, Kavita",prof,research,"Arora, Kavita[Author] AND Irvine[Affiliation] OR Arora, K[Author] AND Irvine[Affiliation] OR 0000-0002-2393-8363[Author - Identifier]","['39105756', '35831023', '35027733']","Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; CDC2 Protein Kinase; Cdc20 Proteins; Cyclin B; Cyclin B1; Cyclin B2; Embryo, Nonmammalian; Mitosis; Phosphorylation; Animals; Binding Sites; Cells, Cultured; Conserved Sequence; Hedgehog Proteins; Humans; MAP Kinase Signaling System; Mitogen-Activated Protein Kinase 1; Mutation; Neoplasms; Phosphorylation; Protein Binding; Repressor Proteins; Zinc Finger Protein GLI1; Cadmium; Cell Line, Tumor; DNA-Binding Proteins; Gene Expression Regulation; HEK293 Cells; HeLa Cells; Hippo Signaling Pathway; Homeostasis; Humans; Inactivation, Metabolic; Phosphorylation; Protein Serine-Threonine Kinases; Stress, Physiological; Transcription Factors; Transcription, Genetic; Tumor Suppressor Proteins; Zinc; Transcription Factor MTF-1"
"Atwood, Scott",assoc prof,research,"Atwood, Scott[Author] AND Irvine[Affiliation] OR Atwood, SX[Author] AND Irvine[Affiliation] OR 0000-0001-7407-9792[Author - Identifier]","['40319033', '39536613', '39463971', '39294560', '38385917', '37715952', '37205445', '37195865', '36993765', '36690742', '36383486', '35831023', '35687691', '35416650']","Humans; Cell Proliferation; Keratinocytes; Membrane Proteins; Stem Cells; Intercellular Signaling Peptides and Proteins; Secretome; Epidermis; Wnt Signaling Pathway; CRISPR-Cas Systems; Epidermal Cells; Clustered Regularly Interspaced Short Palindromic Repeats; Humans; Skin; Tissue Engineering; Organoids; Pluripotent Stem Cells; Bioprinting; Microphysiological Systems; Single-Cell Analysis; Humans; Sequence Analysis, RNA; Transcriptome; Algorithms; Gene Expression Profiling; Gene Regulatory Networks; Humans; Skin Neoplasms; Carcinoma, Basosquamous; Male; Female; Multiomics; Sebaceous Glands; Cell Differentiation; Skin; Hair Follicle; Epithelial Cells; Humans; Transcriptome; Skin; Keratinocytes; Epidermis; Cell Differentiation; Organoids; Humans; Transcriptome; Cell Communication; Gene Expression Profiling; Signal Transduction; Computer Simulation; Single-Cell Analysis; Animals; Mice; Humans; RNA; Chromatography, Liquid; Tandem Mass Spectrometry; Gene Expression Profiling; Animals; Binding Sites; Cells, Cultured; Conserved Sequence; Hedgehog Proteins; Humans; MAP Kinase Signaling System; Mitogen-Activated Protein Kinase 1; Mutation; Neoplasms; Phosphorylation; Protein Binding; Repressor Proteins; Zinc Finger Protein GLI1; Animals; Carcinoma, Basal Cell; Ecosystem; Hedgehog Proteins; Humans; Mice; Single-Cell Analysis; Skin Neoplasms; Tumor Microenvironment; Neoplasms; Nucleosides; RNA"
"Azizi, Emanuel",prof,research,"Azizi, Emanuel[Author] AND Irvine[Affiliation] OR Azizi, E[Author] AND Irvine[Affiliation]","['38873800', '38353270', '38290561', '38176106', '37930362', '37905058', '37727106', '36854379', '36595244', '36576050']","Animals; Galliformes; Muscle, Skeletal; Biomechanical Phenomena; Running; Electromyography; Walking; Muscle Contraction; Isometric Contraction; Rats; Animals; Muscle, Skeletal; Tendons; Connective Tissue; Locomotion; Hindlimb; Muscle Contraction; Biomechanical Phenomena; Conservation of Energy Resources; Tendons; Muscle, Skeletal; Elasticity; Elastomers; Stress, Mechanical; Viscosity; Muscle, Skeletal; Muscle Fibers, Skeletal; Muscle Contraction; Animals; Alligators and Crocodiles; Locomotion; Walking; Gait; Extremities; Hindlimb; Biomechanical Phenomena; Animals; Temperature; Muscle Contraction; Biomechanical Phenomena; Muscle, Skeletal; Lower Extremity; Anura; Animals; Robotics; Environment; Poaceae; Trees; Biomechanical Phenomena; Movement; Nonlinear Dynamics; Animals; Muscle Spindles; Lower Extremity; Forelimb; Hindlimb; Bufo marinus"
"Baker, Nicholas",prof,research,"Baker, Nicholas[Author] AND Irvine[Affiliation] OR Baker, NE[Author] AND Irvine[Affiliation]",['39131389'],
"Bardwell, Lee",prof,research,"Bardwell, Lee[Author] AND Irvine[Affiliation] OR Bardwell, L[Author] AND Irvine[Affiliation]","['39105756', '37945169', '37145016', '35831023', '35027733']","Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; CDC2 Protein Kinase; Cdc20 Proteins; Cyclin B; Cyclin B1; Cyclin B2; Embryo, Nonmammalian; Mitosis; Phosphorylation; Animals; Humans; Saccharomyces cerevisiae; Mitogen-Activated Protein Kinases; Signal Transduction; Phosphorylation; Protein Kinases; Mammals; Animals; Binding Sites; Cells, Cultured; Conserved Sequence; Hedgehog Proteins; Humans; MAP Kinase Signaling System; Mitogen-Activated Protein Kinase 1; Mutation; Neoplasms; Phosphorylation; Protein Binding; Repressor Proteins; Zinc Finger Protein GLI1; Cadmium; Cell Line, Tumor; DNA-Binding Proteins; Gene Expression Regulation; HEK293 Cells; HeLa Cells; Hippo Signaling Pathway; Homeostasis; Humans; Inactivation, Metabolic; Phosphorylation; Protein Serine-Threonine Kinases; Stress, Physiological; Transcription Factors; Transcription, Genetic; Tumor Suppressor Proteins; Zinc; Transcription Factor MTF-1"
"Blumberg, Bruce",prof,research,"Blumberg, Bruce[Author] AND Irvine[Affiliation] OR Blumberg, B[Author] AND Irvine[Affiliation]","['40179257', '39613954', '39502475', '38546853', '38077066', '38052962', '37361542', '37230767', '37230178', '36750942', '36740725', '35716579', '35714447', '35395240', '35393121', '35208169', '35026188', '34975759']","Animals; Trialkyltin Compounds; Female; Male; Pregnancy; Prenatal Exposure Delayed Effects; Obesity; Mice; Diet, Western; Diet, High-Fat; Insulin Resistance; Endocrine Disruptors; Mice, Inbred C57BL; Leptin; Humans; Animals; Metabolic Diseases; Endocrine Disruptors; Consensus; Energy Metabolism; Humans; Obesity; Child; Pregnancy; Female; Humans; Adolescent; Child, Preschool; Endocrine Disruptors; Autism Spectrum Disorder; Prenatal Exposure Delayed Effects; Autistic Disorder; Pesticides; Epidemiologic Studies; Male; Mice; Animals; Pregnane X Receptor; Receptors, Steroid; Xenobiotics; Obesity; Adipocytes; Insulin Resistance; Diet, High-Fat; Humans; Environmental Exposure; Endocrine Disruptors; Obesity; Weight Gain; Pandemics; Humans; Adipogenesis; Retinoid X Receptors; PPAR gamma; Mesenchymal Stem Cells; Lipids; Female; Pregnancy; Male; Animals; Mice; Adipogenesis; Rosiglitazone; PPAR gamma; Mesenchymal Stem Cells; Cell Differentiation; Obesity; MicroRNAs; Adipogenesis; Adipose Tissue; Child, Preschool; Endocrine Disruptors; Environmental Exposure; Humans; Obesity; 3T3-L1 Cells; Adipocytes; Adipogenesis; Animals; Caenorhabditis elegans; Cell Differentiation; Mice; Obesity; Zebrafish; Adipogenesis; Animals; Benzamides; Cannabidiol; Cell Line, Transformed; Humans; Lipogenesis; Lipolysis; Mesenchymal Stem Cells; Mice; PPAR gamma; Pyridines; Animals; Chromatin; DNA Methylation; Endocrine Disruptors; Environmental Exposure; Epigenesis, Genetic; Female; Genetic Predisposition to Disease; Histones; Humans; Inheritance Patterns; Male; Methylation; Obesity; Phenotype"
"Blurton-Jones, Mathew",prof,research,"Blurton-Jones, Mathew[Author] AND Irvine[Affiliation] OR Blurton-Jones, M[Author] AND Irvine[Affiliation]","['40475700', '40233761', '40205047', '40074745', '39813317', '39612244', '39142282', '39018376', '38970922', '38961225', '38897209', '38897208', '38523285', '38519640', '38482922', '38293075', '38115077', '37957324', '37582369', '37543250']","Humans; Induced Pluripotent Stem Cells; Animals; Microglia; Mice; Alzheimer Disease; Female; Neprilysin; Central Nervous System; Brain; Microglia; Alzheimer Disease; Animals; Mice; Hepatitis A Virus Cellular Receptor 2; Transforming Growth Factor beta; Disease Models, Animal; Male; Signal Transduction; Receptor, Transforming Growth Factor-beta Type II; Humans; Smad2 Protein; Female; Phagocytosis; Cognitive Dysfunction; Amyloid beta-Peptides; Phosphorylation; Homeostasis; Mice, Transgenic; Animals; Microglia; Disease Models, Animal; Xenon; Amyloidosis; Administration, Inhalation; Mice; Tauopathies; Mice, Transgenic; Alzheimer Disease; Plaque, Amyloid; Mice, Inbred C57BL; Humans; Humans; Induced Pluripotent Stem Cells; Microglia; Alzheimer Disease; tau Proteins; Neurons; Amyloid beta-Peptides; Phagocytosis; Presenilin-1; Ferroptosis; Lipid Peroxidation; Organoids; Coculture Techniques; Microglia; Blood-Brain Barrier; Animals; Cholesterol; Endothelial Cells; Mice; Brain; Receptors, Granulocyte-Macrophage Colony-Stimulating Factor; Mice, Inbred C57BL; Male; Organic Chemicals; Microglia; Complement C1q; Humans; Phenotype; Induced Pluripotent Stem Cells; Organelles; Mitochondria; Microscopy; Cells, Cultured; Humans; Microglia; Induced Pluripotent Stem Cells; Calcium Signaling; Cell Movement; Endoplasmic Reticulum; Calcium; Cyclic AMP; Chemotaxis; Aged; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Apolipoprotein E4; Brain; Cognitive Dysfunction; Disease Models, Animal; Interleukin-17; Mice, Transgenic; Microglia; Neutrophils; Plaque, Amyloid; Sex Factors; Animals; Microglia; Leukoencephalopathies; Humans; Mice; Disease Models, Animal; Induced Pluripotent Stem Cells; Receptors, Granulocyte-Macrophage Colony-Stimulating Factor; Gliosis; Receptor, Macrophage Colony-Stimulating Factor; Microglia; Animals; Mice; Aging; Receptors, Granulocyte-Macrophage Colony-Stimulating Factor; Brain; Mice, Inbred C57BL; Male; White Matter; Leukoencephalopathies; Thalamus; Humans; Microglia; Schizophrenia; Male; Female; Twins, Monozygotic; Adult; Induced Pluripotent Stem Cells; Interleukin-1beta; Sulfoxides; Inflammation; Middle Aged; Isothiocyanates; Alzheimer Disease; Animals; NF-E2-Related Factor 2; Microglia; Humans; Mice; Interferon-gamma; Disease Models, Animal; Oxidative Stress; Mice, Transgenic; Humans; Animals; Mice; Apolipoprotein E4; Microglia; Apolipoprotein E3; Alzheimer Disease; Apolipoproteins E; Mice, Transgenic; Mice; Animals; Humans; Female; Microglia; Breast Neoplasms; Brain Neoplasms; Brain; Treatment Outcome; Humans; Mice; Animals; Microglia; Gene Regulatory Networks; Brain; Induced Pluripotent Stem Cells; Gene Expression Regulation; Humans; Frontotemporal Dementia; Induced Pluripotent Stem Cells; Microglia; Endosomal Sorting Complexes Required for Transport"
"Bracken, Matthew",prof,research,"Bracken, Matthew[Author] AND Irvine[Affiliation] OR Bracken, MES[Author] AND Irvine[Affiliation]","['39358884', '38912782', '38703050', '37546568', '37260224', '35039551']",Animals; Biomass; Food Chain; Mollusca; Macrocystis; Kelp; Conservation of Natural Resources; Urea; Nitrates; Ammonium Compounds; Nitrogen; California; Kelp; Macrocystis; Seawater; Ecosystem; Carbon Dioxide; Alaska; Oxygen; Hydrogen-Ion Concentration
"Briscoe, Adriana",prof,research,"Briscoe, Adriana[Author] AND Irvine[Affiliation] OR Briscoe, AD[Author] AND Irvine[Affiliation]","['39915690', '38513043', '37552755', '36058243', '35348742']","Animals; Butterflies; Biological Mimicry; Pigmentation; Color Vision; Wings, Animal; Male; Female; Sexual Behavior, Animal; Color; Animals; Male; Mating Preference, Animal; Butterflies; Reproduction; Animals; Female; Color Vision; Butterflies; Eye; Opsins; Rhodopsin; Animals; Drosophila melanogaster; Evolution, Molecular; Insecta; Opsins; Phylogeny; Animals; Butterflies; Color Vision; Female; Opsins; Photoreceptor Cells; Wings, Animal"
